ts	phase	decision	why	evidence	result
2026-08-26T09:51:01Z	frame	ship the real harness gaps, drop stale or out-of-scope bullets	done means empty CONTRIBUTING list plus a strictly better harness, not a list emptied by dropping everything	CONTRIBUTING.md:330	predicate set
2026-08-26T09:51:01Z	ship	missing op and _skip on operations become guiding lint messages	TypeError was the CONTRIBUTING crash; checkSpec now names the missing block and does not recompute goldens on an invalid spec	packages/spec/harness.ts:lintExamples	VERIFIED spec_errors_test.ts
2026-08-26T09:51:01Z	ship	assert BLOCKS >= 6 next to the constant	ciRank returns -1 below 6 and conservativePct then reports 0, which looks like no regressions	packages/spec/bench.ts:BLOCKS	VERIFIED spec_perf_test.ts
2026-08-26T09:51:01Z	ship	lintSpecsDir rejects token-codec ids such as url-codec	the historical bug is a single token plus -codec, not every id that ends with -codec	packages/spec/harness.ts:lintSpecsDir	VERIFIED spec_test.ts; flatten-field-codec kept
2026-08-26T09:51:01Z	ship	unrepresentable example output fails the check instead of becoming an error golden	a passing op was being pinned as an error string the harness knew was a serializer failure	packages/spec/harness.ts:recomputeGoldens	VERIFIED spec_errors_test.ts
2026-08-26T09:51:01Z	ship	valueToCode emits new Uint8Array and uint8array.yaml exists	S.uint8Array could not be specced before	packages/sury/specs/uint8array.yaml	VERIFIED pnpm spec check uint8array
2026-08-26T09:51:01Z	ship	serialize quotes tabs and escapes DEL/C1 as u00xx	ipv4 had a raw tab, uri-template had raw DEL and C1; PyYAML rejects those	packages/spec/harness.ts:serialize	VERIFIED python scan hits 0 after --write
2026-08-26T09:51:01Z	ship	sparse jsonSchema.targets for draft-2020-12 and openapi-3.0	only when the document minus dollar-schema differs from the default emit; string.yaml stays two fields	packages/spec/format.ts:JSON_SCHEMA_TARGETS	VERIFIED jsonstring-object has contentSchema, string.yaml has no targets
2026-08-26T09:51:01Z	ship	example.bench true splits a run target out of its aggregate	union-large-planner cheap member was invisible in the accept batch	packages/spec/bench.ts:deriveTargets	VERIFIED spec_perf_test.ts
2026-08-26T09:51:01Z	drop	recursive create+compile skip	x200 rebuilds of recursive-proto-name succeed on current Sury; skipping would hide a real phase	probe:node	dropped after live probe
2026-08-26T09:51:01Z	drop	fromJSONSchema instantiations budget	fromInputType already catches semantic regressions; a second suite-wide number is noise	packages/spec/introspect.ts:deriveRoundTripTypeInfo	dropped
2026-08-26T09:51:01Z	drop	URL href vs input source	S.url uses new URL; the golden should pin WHATWG canonicalization; engines pin is the lock	packages/spec/harness.ts:valueToCode	dropped
2026-08-26T09:51:01Z	drop	json-target op dimension	compose S.to(S.json) into ts.schema; codec-optional-object-json.yaml already covers #311	packages/sury/specs/codec-optional-object-json.yaml	dropped
2026-08-26T09:51:01Z	drop	ReScript-only res dimension	format is ts.schema by design; ~custom stays in S_to_custom_test.res	packages/spec/format.ts	dropped
2026-08-26T09:51:01Z	drop	async encode dimension	already shipped: isAsync on encode and codec-custom-async-encode.yaml	packages/sury/specs/codec-custom-async-encode.yaml	dropped as stale
2026-08-26T09:51:01Z	drop	schema constructionError golden	ts.schema is author-owned; a panic is did not evaluate, not a contract to ratchet; operation creationError already covers .to rejections	packages/spec/harness.ts:checkSpec	dropped
2026-08-26T09:51:01Z	drop	non-registry symbol representation	unrepresentable by nature; fail-instead-of-lie now fails the check instead of lying	packages/spec/harness.ts:valueToCode	addressed by U4
2026-08-26T09:51:01Z	drop	bimodal scenario process confirm	CONFIRM_PROCESSES=2 already agrees across fresh processes	packages/spec/bench.ts:CONFIRM_PROCESSES	dropped as stale
2026-08-26T09:51:01Z	drop	perf aggregation design essay	aggregation, one process per target, and screening parallelism are already the design	packages/spec/bench.ts:deriveTargets	dropped as stale
2026-08-26T09:51:01Z	verify	CONTRIBUTING Spec Harness Suggestions has zero bullets	user asked for empty suggestions after the harness improved	CONTRIBUTING.md:Spec-Harness-Suggestions	VERIFIED python count 0
2026-09-02T08:50:00Z	merge	merge origin/main; keep the four bullets main added after the branch forked	Blob/File output, platform error wording, ts.constructionError and an assert op are real gaps this branch does not ship; the Uint8Array half of the first is shipped and reworded	CONTRIBUTING.md:Spec-Harness-Suggestions	VERIFIED four bullets remain
2026-09-02T08:50:00Z	merge	drop the S_test.ts Uint8Array test on main side	main moved bytes in a value position to base64, so the test asserted stale behavior; uint8array.yaml and the codec-* specs hold it now	packages/sury/tests/S_test.ts	VERIFIED vitest green
2026-09-02T08:50:00Z	ship	every Uint8Array-valued example moves from content_test.ts into codec-* specs	valueToCode writes new Uint8Array so the byte direction of the content axis no longer needs a test file; 13 new specs, 6 gained examples	packages/sury/specs/codec-*uint8array*.yaml	VERIFIED pnpm spec check --perf=skip green
